country,measure,val_1990,UI_1990_lo,UI_1990_hi,val_2023,UI_2023_lo,UI_2023_hi,pct_change,UIs_overlap,overlap_fraction
Argentina,ASPR,10862.9,9244.6,12556.0,11278.3,9611.6,13066.6,3.82,True,0.77
Argentina,ASIR,915.1,782.3,1079.2,939.5,814.3,1110.9,2.66,True,0.806
Argentina,ASDR,379.3,249.7,521.1,391.9,256.5,546.6,3.32,True,0.891
Australia,ASPR,13343.7,11234.8,15709.4,13365.4,11258.9,15729.0,0.16,True,0.99
Australia,ASIR,1090.5,937.4,1304.1,1091.0,938.0,1304.2,0.04,True,0.998
Australia,ASDR,449.9,296.9,625.6,447.5,293.0,618.0,-0.54,True,0.966
Brazil,ASPR,17727.9,15276.7,20122.7,18150.6,15471.8,20733.4,2.38,True,0.852
Brazil,ASIR,1443.8,1277.3,1645.2,1481.3,1298.1,1696.0,2.6,True,0.829
Brazil,ASDR,603.0,414.5,823.9,613.1,415.8,834.6,1.67,True,0.971
Canada,ASPR,16489.5,14424.2,18745.6,16103.6,13571.7,18735.6,-2.34,True,0.833
Canada,ASIR,1236.3,1075.8,1435.6,1228.0,1057.2,1452.0,-0.67,True,0.911
Canada,ASDR,583.3,381.4,801.8,565.8,374.0,783.1,-3.0,True,0.939
China,ASPR,10676.2,9237.2,12255.9,11419.6,9841.0,12927.1,6.96,True,0.654
China,ASIR,901.1,795.3,1036.8,952.4,840.4,1091.0,5.69,True,0.664
China,ASDR,372.6,252.3,525.3,400.0,265.9,554.8,7.35,True,0.857
EU,ASPR,16749.7,14341.0,19067.8,16862.4,14476.2,19137.2,0.67,True,0.957
EU,ASIR,1286.2,1129.9,1499.6,1301.8,1136.7,1524.3,1.22,True,0.92
EU,ASDR,586.2,385.6,808.8,587.6,388.7,812.0,0.23,True,0.985
France,ASPR,17080.1,14516.5,19852.3,16923.5,14462.2,19476.5,-0.92,True,0.92
France,ASIR,1330.2,1152.0,1574.5,1320.4,1139.1,1558.8,-0.73,True,0.934
France,ASDR,607.8,403.1,842.0,600.0,394.0,828.0,-1.28,True,0.948
G20,ASPR,13560.2,11782.2,15453.4,14008.4,12076.9,15965.4,3.31,True,0.807
G20,ASIR,1111.7,982.3,1279.1,1149.6,1011.5,1307.0,3.4,True,0.824
G20,ASDR,471.3,314.7,657.2,483.7,320.0,676.0,2.64,True,0.933
Germany,ASPR,18523.1,15865.0,21311.7,18454.0,15783.8,21232.5,-0.37,True,0.971
Germany,ASIR,1381.6,1199.4,1620.1,1380.0,1197.7,1617.9,-0.12,True,0.991
Germany,ASDR,642.2,427.2,875.1,636.5,418.7,871.7,-0.88,True,0.974
India,ASPR,14628.5,12727.5,16669.7,14619.2,12625.3,16702.6,-0.06,True,0.967
India,ASIR,1221.4,1072.9,1404.3,1216.5,1066.0,1379.6,-0.39,True,0.906
India,ASDR,486.4,331.7,673.7,490.2,325.2,684.4,0.79,True,0.952
Indonesia,ASPR,15905.2,13649.4,18010.0,15817.3,13582.4,17910.2,-0.55,True,0.962
Indonesia,ASIR,1314.7,1165.5,1502.2,1308.3,1160.3,1495.2,-0.49,True,0.964
Indonesia,ASDR,559.6,370.3,775.2,557.8,369.8,771.4,-0.33,True,0.989
Italy,ASPR,18795.4,16339.8,21371.2,18870.6,16363.8,21297.0,0.4,True,0.98
Italy,ASIR,1452.1,1293.6,1658.6,1457.2,1295.7,1662.5,0.35,True,0.984
Italy,ASDR,661.8,435.0,914.2,663.3,445.6,920.5,0.23,True,0.965
Japan,ASPR,10228.2,8859.8,11759.4,10498.2,9156.4,12123.6,2.64,True,0.798
Japan,ASIR,833.8,727.5,964.8,854.6,745.0,992.9,2.49,True,0.828
Japan,ASDR,358.5,237.3,498.0,364.7,240.2,503.1,1.73,True,0.97
Mexico,ASPR,13488.4,11586.3,15276.5,13658.1,11775.3,15426.7,1.26,True,0.912
Mexico,ASIR,1109.7,974.0,1263.2,1119.8,984.6,1276.4,0.91,True,0.921
Mexico,ASDR,473.7,317.3,649.5,478.6,325.5,663.0,1.02,True,0.937
Russia,ASPR,14040.8,12155.3,15948.0,14002.6,12116.0,15908.4,-0.27,True,0.979
Russia,ASIR,1075.7,952.3,1233.8,1074.8,951.3,1232.6,-0.08,True,0.992
Russia,ASDR,534.2,352.0,733.7,532.3,349.8,730.4,-0.35,True,0.986
Saudi Arabia,ASPR,13952.6,11829.3,16234.4,13683.9,11598.5,15945.9,-1.93,True,0.888
Saudi Arabia,ASIR,1155.4,995.0,1362.6,1137.5,982.1,1343.8,-1.55,True,0.917
Saudi Arabia,ASDR,498.2,336.2,689.2,483.0,325.0,666.7,-3.04,True,0.907
South Africa,ASPR,13606.0,11846.1,15561.7,13575.6,11820.0,15529.1,-0.22,True,0.984
South Africa,ASIR,1113.3,985.7,1283.2,1110.5,983.0,1280.1,-0.26,True,0.98
South Africa,ASDR,474.3,317.9,659.9,467.4,315.8,649.1,-1.46,True,0.963
South Korea,ASPR,12103.3,10299.7,14249.3,11538.7,9692.4,13665.4,-4.67,True,0.739
South Korea,ASIR,950.1,822.8,1125.3,919.2,792.8,1090.2,-3.26,True,0.804
South Korea,ASDR,407.2,267.4,570.7,391.8,260.0,544.2,-3.78,True,0.891
Turkey,ASPR,14827.6,12659.5,17184.6,14928.5,12690.8,17067.5,0.68,True,0.967
Turkey,ASIR,1196.9,1029.5,1403.8,1204.3,1043.9,1414.3,0.62,True,0.935
Turkey,ASDR,554.2,363.1,756.5,557.9,369.1,769.0,0.67,True,0.955
United Kingdom,ASPR,16821.1,14552.6,19164.7,16945.3,14631.7,19195.5,0.74,True,0.976
United Kingdom,ASIR,1339.2,1191.5,1542.4,1345.6,1183.4,1552.2,0.48,True,0.952
United Kingdom,ASDR,588.4,392.4,809.6,584.9,386.9,809.1,-0.59,True,0.986
United States,ASPR,16796.0,14686.5,19134.3,16360.1,14103.3,19044.3,-2.6,True,0.866
United States,ASIR,1321.7,1169.3,1517.1,1295.6,1152.4,1485.4,-1.97,True,0.867
United States,ASDR,582.8,387.5,808.6,563.6,379.1,783.5,-3.28,True,0.922
